scenario,emission_model,op_risk,N_mean,N_std,N_p5,N_p25,N_median,N_p75,N_p95,P_mean,n_runs,N_cv
bear,pid,False,6306.1333,1379.8387,4428.55,5514.75,6331.0,7025.0,8193.6,0.1976,30,0.2188
bear,pid,True,6337.7667,1246.7574,4074.85,5886.5,6372.5,6949.5,8172.05,0.2078,30,0.1967
bear,static,False,3900.1667,3737.8436,709.15,1022.75,1627.0,6993.5,11027.85,0.2846,30,0.9584
bear,static,True,3485.6333,3663.5766,746.9,1034.75,1266.5,5798.0,10104.5,0.2409,30,1.0511
bull,pid,False,11934.0,0.0,11934.0,11934.0,11934.0,11934.0,11934.0,14.241,30,0.0
bull,pid,True,11866.7667,2.7753,11862.45,11865.0,11866.5,11868.0,11871.1,13.6957,30,0.0002
bull,static,False,11934.0,0.0,11934.0,11934.0,11934.0,11934.0,11934.0,14.1576,30,0.0
bull,static,True,11866.9,2.51,11862.9,11866.0,11867.5,11868.0,11869.55,13.8658,30,0.0002
competitor,pid,False,10099.0333,879.632,8880.1,9441.25,10129.5,10584.25,11695.55,2.2044,30,0.0871
competitor,pid,True,10346.3333,853.3908,9040.6,9612.5,10430.0,10774.25,11723.2,3.0587,30,0.0825
competitor,static,False,8610.1,4683.8825,1049.15,3233.25,11934.0,11934.0,11934.0,2.2202,30,0.544
competitor,static,True,8330.8333,4738.0,1299.55,2606.0,11864.5,11868.0,11869.0,3.0731,30,0.5687
regulatory,pid,False,10261.7667,955.7809,8934.05,9536.5,10229.0,10979.75,11676.6,2.3506,30,0.0931
regulatory,pid,True,10802.1333,761.5346,9628.15,10207.25,10879.5,11454.25,11803.1,3.4778,30,0.0705
regulatory,static,False,11188.8667,2558.4343,5967.7,11934.0,11934.0,11934.0,11934.0,2.9458,30,0.2287
regulatory,static,True,8271.4333,4643.5975,1029.8,3077.5,11865.5,11868.0,11870.0,2.3502,30,0.5614
