Ki,Kd,Kp,scenario,final_N,dev_from_target,total_emission,total_slashed,final_C,final_P,at_floor_steps,at_ceiling_steps
0.05,0.05,0.8,bull,11934,0.1934,178676604.0,274683546,103694347.0,7.231711,0,0
0.05,0.05,0.8,bear,3895,0.6105,214322913.0,272753733,141286363.0,0.078794,0,0
0.05,0.05,0.8,competitor,11934,0.1934,193885322.0,339215471,54416293.0,7.222489,0,0
0.05,0.05,0.8,regulatory,11917,0.1917,183619142.0,293943220,89373969.0,4.606411,0,0
0.05,0.1,0.8,bull,11934,0.1934,179341450.0,275385552,103709205.0,21.644736,0,0
0.05,0.1,0.8,bear,4860,0.514,221693568.0,283104491,138297837.0,0.125017,0,0
0.05,0.1,0.8,competitor,11934,0.1934,190037716.0,323529606,66301946.0,7.10401,0,0
0.05,0.1,0.8,regulatory,11037,0.1037,240594862.0,301327578,138751749.0,0.713638,0,0
0.05,0.2,0.8,bull,11934,0.1934,188924240.0,276855057,111743917.0,10.898165,0,0
0.05,0.2,0.8,bear,8322,0.1678,201276531.0,282789892,118260463.0,0.546229,0,0
0.05,0.2,0.8,competitor,11934,0.1934,198768368.0,323664379,74840261.0,3.648791,0,0
0.05,0.2,0.8,regulatory,11934,0.1934,212058049.0,293854880,117765704.0,1.963997,0,0
0.05,0.35,0.8,bull,11934,0.1934,189422108.0,275648579,113512480.0,22.94104,0,0
0.05,0.35,0.8,bear,6137,0.3863,215403386.0,294097451,121015198.0,0.229856,0,0
0.05,0.35,0.8,competitor,11934,0.1934,197039130.0,327807332,68958023.0,3.094517,0,0
0.05,0.35,0.8,regulatory,11639,0.1639,199468900.0,280207144,118883237.0,1.842623,0,0
0.05,0.5,0.8,bull,11934,0.1934,185664550.0,274529762,110785687.0,12.4831,0,0
0.05,0.5,0.8,bear,6956,0.3044,201676847.0,282312775,119115741.0,0.401015,0,0
0.05,0.5,0.8,competitor,11747,0.1747,190412924.0,324685352,65508382.0,1.820754,0,0
0.05,0.5,0.8,regulatory,11934,0.1934,182313678.0,277299374,104741406.0,2.858588,0,0
0.1,0.05,0.8,bull,11934,0.1934,170067533.0,275385552,94424957.0,21.642364,0,0
0.1,0.05,0.8,bear,5045,0.4955,287814071.0,275306556,212074652.0,0.136264,0,0
0.1,0.05,0.8,competitor,11872,0.1872,217911273.0,339112998,78412605.0,2.808056,0,0
0.1,0.05,0.8,regulatory,11934,0.1934,178347455.0,295831205,82234882.0,4.575834,0,0
0.1,0.1,0.8,bull,11934,0.1934,169694475.0,277333827,92111055.0,18.604174,0,0
0.1,0.1,0.8,bear,5450,0.455,213543077.0,281037012,132240647.0,0.181008,0,0
0.1,0.1,0.8,competitor,11535,0.1535,203671970.0,327325736,76032879.0,3.597691,0,0
0.1,0.1,0.8,regulatory,10731,0.0731,206003594.0,304514944,101081371.0,1.624837,0,0
0.1,0.2,0.8,bull,11934,0.1934,168920835.0,275812684,92829852.0,9.710982,0,0
0.1,0.2,0.8,bear,5355,0.4645,225727545.0,273910723,151567030.0,0.140682,0,0
0.1,0.2,0.8,competitor,11252,0.1252,184386068.0,328969020,55191322.0,2.267779,0,0
0.1,0.2,0.8,regulatory,10370,0.037,191946247.0,292609040,98955815.0,1.744891,0,0
0.1,0.35,0.8,bull,11934,0.1934,168876301.0,275812684,92785325.0,9.710987,0,0
0.1,0.35,0.8,bear,3993,0.6007,310985618.0,273535923,236948004.0,0.099915,0,0
0.1,0.35,0.8,competitor,11641,0.1641,185550273.0,330387430,54892299.0,2.571632,0,0
0.1,0.35,0.8,regulatory,11873,0.1873,232036414.0,287434545,144123960.0,3.391553,0,0
0.1,0.5,0.8,bull,11934,0.1934,168831725.0,275812684,92740798.0,9.710991,0,0
0.1,0.5,0.8,bear,4664,0.5336,245122733.0,271314918,173475069.0,0.189271,0,0
0.1,0.5,0.8,competitor,11934,0.1934,184460303.0,328503792,55692189.0,3.738959,0,0
0.1,0.5,0.8,regulatory,9988,0.0012,212283452.0,285382711,126467502.0,1.519137,0,0
0.15,0.05,0.8,bull,11934,0.1934,172837261.0,277333827,95245175.0,18.600588,775,0
0.15,0.05,0.8,bear,7365,0.2635,244270748.0,292859405,151036039.0,0.358131,0,0
0.15,0.05,0.8,competitor,10559,0.0559,202777815.0,343626609,58860389.0,2.790686,33,0
0.15,0.05,0.8,regulatory,11877,0.1877,200384697.0,330770139,69259086.0,4.56353,215,0
0.15,0.1,0.8,bull,11934,0.1934,171907773.0,275812684,95806174.0,9.708879,775,0
0.15,0.1,0.8,bear,7436,0.2564,279063379.0,277531315,201156792.0,0.146041,0,0
0.15,0.1,0.8,competitor,10842,0.0842,227736821.0,347787374,79603410.0,2.253757,0,0
0.15,0.1,0.8,regulatory,10636,0.0636,204165358.0,331759989,72067985.0,2.810702,0,0
0.15,0.2,0.8,bull,11934,0.1934,171878121.0,275812684,95776493.0,9.708886,775,0
0.15,0.2,0.8,bear,5536,0.4464,277319743.0,269168194,207760738.0,0.116094,0,0
0.15,0.2,0.8,competitor,11559,0.1559,206997571.0,353901351,52799265.0,2.431533,112,0
0.15,0.2,0.8,regulatory,9152,0.0848,193860697.0,296653880,96839913.0,1.266728,280,0
0.15,0.35,0.8,bull,11934,0.1934,171833643.0,275812684,95731971.0,9.708896,775,0
0.15,0.35,0.8,bear,3992,0.6008,260252112.0,273745763,186134552.0,0.089716,0,0
0.15,0.35,0.8,competitor,11343,0.1343,213906183.0,351115800,62481059.0,2.470475,112,0
0.15,0.35,0.8,regulatory,9725,0.0275,238907493.0,303104044,135331146.0,1.806277,0,0
0.15,0.5,0.8,bull,11934,0.1934,171789109.0,275812684,95687450.0,9.708906,775,0
0.15,0.5,0.8,bear,6079,0.3921,261289684.0,280189597,180790208.0,0.108935,0,0
0.15,0.5,0.8,competitor,10051,0.0051,197782339.0,339145787,58351381.0,1.926523,112,0
0.15,0.5,0.8,regulatory,9841,0.0159,206960576.0,315646363,90900096.0,1.60319,0,0
0.25,0.05,0.8,bull,11934,0.1934,197411909.0,276871160,120232786.0,10.850835,887,0
0.25,0.05,0.8,bear,8797,0.1203,328231290.0,300133951,227765045.0,0.309995,0,0
0.25,0.05,0.8,competitor,8090,0.191,236940294.0,347350357,89214943.0,1.313296,406,0
0.25,0.05,0.8,regulatory,8968,0.1032,228600698.0,324940590,103283639.0,1.110362,0,0
0.25,0.1,0.8,bull,11934,0.1934,197397041.0,277038692,120048194.0,12.725597,887,0
0.25,0.1,0.8,bear,9392,0.0608,328732420.0,302155086,226243707.0,0.35024,0,0
0.25,0.1,0.8,competitor,10139,0.0139,246326601.0,355999172,89940091.0,1.416979,0,0
0.25,0.1,0.8,regulatory,10191,0.0191,217430857.0,328485619,88569683.0,2.197782,0,0
0.25,0.2,0.8,bull,11934,0.1934,197367431.0,278158927,118915205.0,14.162976,887,0
0.25,0.2,0.8,bear,5531,0.4469,374903730.0,270357940,304059115.0,0.097357,0,0
0.25,0.2,0.8,competitor,8967,0.1033,236542864.0,355249598,81010138.0,0.828925,0,0
0.25,0.2,0.8,regulatory,11133,0.1133,236011603.0,343285332,92317677.0,1.245722,0,0
0.25,0.35,0.8,bull,11934,0.1934,197322911.0,276534824,120495689.0,10.612399,887,0
0.25,0.35,0.8,bear,7455,0.2545,267451229.0,299443345,167698475.0,0.164338,0,0
0.25,0.35,0.8,competitor,10696,0.0696,280777748.0,353127511,127207642.0,0.822757,0,0
0.25,0.35,0.8,regulatory,10710,0.071,271794325.0,339954599,131347389.0,1.300912,0,0
0.25,0.5,0.8,bull,11934,0.1934,197278349.0,276534824,120451172.0,10.612457,887,0
0.25,0.5,0.8,bear,5451,0.4549,328800717.0,286962103,241400907.0,0.088366,0,0
0.25,0.5,0.8,competitor,10695,0.0695,294736016.0,365892407,128371524.0,0.672166,0,0
0.25,0.5,0.8,regulatory,10384,0.0384,241067344.0,333160954,107445589.0,1.834642,98,0
0.35,0.05,0.8,bull,11934,0.1934,223267809.0,277984964,144921848.0,5.648787,943,140
0.35,0.05,0.8,bear,6705,0.3295,350409903.0,297320433,252747989.0,0.148605,154,201
0.35,0.05,0.8,competitor,9367,0.0633,297659763.0,359413783,137812377.0,1.167036,0,140
0.35,0.05,0.8,regulatory,10695,0.0695,266342576.0,333144266,132714970.0,1.20324,0,140
0.35,0.1,0.8,bull,11934,0.1934,223280311.0,277984964,144934268.0,5.648733,943,140
0.35,0.1,0.8,bear,4161,0.5839,450139001.0,274331728,375253592.0,0.050447,0,467
0.35,0.1,0.8,competitor,11037,0.1037,340490723.0,361393276,178601946.0,0.785334,0,140
0.35,0.1,0.8,regulatory,10172,0.0172,273971231.0,339080535,134393544.0,1.797503,0,140
0.35,0.2,0.8,bull,11934,0.1934,223305189.0,277977991,144961928.0,18.444878,943,140
0.35,0.2,0.8,bear,4392,0.5608,384468277.0,291415849,292668769.0,0.068466,0,397
0.35,0.2,0.8,competitor,9667,0.0333,302770635.0,358066969,144282216.0,0.685998,0,140
0.35,0.2,0.8,regulatory,10013,0.0013,249857499.0,332544271,116869919.0,1.474655,168,140
0.35,0.35,0.8,bull,11934,0.1934,223341099.0,276978441,146021635.0,13.485889,943,126
0.35,0.35,0.8,bear,6622,0.3378,428580219.0,276034347,352024074.0,0.118935,0,397
0.35,0.35,0.8,competitor,9022,0.0978,287944843.0,361423605,126127421.0,1.317286,0,140
0.35,0.35,0.8,regulatory,7812,0.2188,283669192.0,342490567,140650577.0,0.635932,168,140
0.35,0.5,0.8,bull,11934,0.1934,223370205.0,276978441,146050600.0,13.485559,943,126
0.35,0.5,0.8,bear,5364,0.4636,374903267.0,305905292,268601650.0,0.099419,0,285
0.35,0.5,0.8,competitor,10591,0.0591,315337042.0,363499214,151351608.0,0.769787,0,126
0.35,0.5,0.8,regulatory,10540,0.054,261257979.0,337681939,123109624.0,2.284544,112,126
