scenario,emission_model,seed,final_N,final_P,final_C,final_T,bme_max,total_emission,total_burned,slashed_total
bull,pid,1000,11934,9.227265,99867606.0,426196160.0,0.009468,176367179.0,303375.9399999999,276196160
bull,pid,1001,11934,16.120498,95978227.0,425654163.0,0.005657,171851409.0,218963.75999999978,275654163
bull,pid,1002,11934,6.373008,98212263.0,424068898.0,0.008535,172606555.0,325379.6500000002,274068898
bull,pid,1003,11934,12.614384,95468386.0,426460702.0,0.006738,172173115.0,244043.51000000018,276460702
bull,pid,1004,11934,20.62113,108842207.0,424195310.0,0.004505,183410593.0,373113.61,274195310
bull,pid,1005,11934,12.231385,96531385.0,425419665.0,0.006284,172188515.0,237507.76000000018,275419665
bull,pid,1006,11934,20.413091,96050190.0,426328939.0,0.005153,172608921.0,229820.57000000033,276328939
bull,pid,1007,11934,12.421836,97762278.0,425512792.0,0.007838,173567627.0,292591.63000000024,275512792
bull,pid,1008,11934,13.958614,107335869.0,422858661.0,0.008051,180496269.0,301693.25000000023,272858661
bull,pid,1009,11934,13.474247,96671779.0,425089527.0,0.005608,171964599.0,203275.35999999967,275089527
bull,pid,1010,11934,18.700289,101510677.0,424609226.0,0.007662,176366185.0,246226.02000000016,274609226
bull,pid,1011,11934,25.085971,111217844.0,426812960.0,0.005203,188333427.0,302680.3700000005,276812960
bull,pid,1012,11934,14.539654,95134109.0,426835233.0,0.006691,172259159.0,289814.46,276835233
bull,pid,1013,11934,12.619026,96006321.0,424892719.0,0.006827,171130143.0,231049.4800000003,274892719
bull,pid,1014,11934,10.218876,96952271.0,424468957.0,0.007613,171675345.0,254132.3899999996,274468957
bull,pid,1015,11934,11.490775,95176273.0,426534296.0,0.006547,172032163.0,321572.15999999933,276534296
bull,pid,1016,11934,15.856621,95071210.0,426680823.0,0.005577,171936263.0,184218.4399999995,276680823
bull,pid,1017,11934,14.156328,95821989.0,427123236.0,0.007019,173220525.0,275328.39999999997,277123236
bull,pid,1018,11934,6.040424,96707274.0,424429449.0,0.009223,171399209.0,262465.23,274429449
bull,pid,1019,11934,8.709505,97986688.0,424976145.0,0.009708,173217921.0,255058.93999999983,274976145
bull,pid,1020,11934,8.376467,111751289.0,425292144.0,0.008202,187403659.0,360237.32999999967,275292144
bull,pid,1021,11934,14.629447,97802363.0,426436177.0,0.008069,174488267.0,249710.7700000003,276436177
bull,pid,1022,11934,9.332185,114947875.0,425203813.0,0.009755,190539617.0,387938.6799999993,275203813
bull,pid,1023,11934,12.274332,109970031.0,424858537.0,0.007426,185129849.0,301322.7000000002,274858537
bull,pid,1024,11934,9.541763,100478042.0,424699336.0,0.006509,175443431.0,266024.8400000003,274699336
bull,pid,1025,11934,16.475618,99648172.0,425408190.0,0.006383,175336513.0,280150.33000000054,275408190
