sweep_param,param_value,Ki,Kd,scenario,final_N,dev_from_target,mad,max_N,min_N,final_P,E_range
Kp,0.3,0.15,0.2,bull,11934,0.1934,2397.8476712328766,11934,1772,18.296779,186456.0
Kp,0.3,0.15,0.2,bear,6810,0.319,2726.127123287671,11934,1656,0.168065,159978.0
Kp,0.3,0.15,0.2,competitor,10000,0.0,1795.3408219178082,11934,1736,2.775122,186138.0
Kp,0.3,0.15,0.2,regulatory,10718,0.0718,1696.85698630137,11934,1887,2.60464,184780.0
Kp,0.5,0.15,0.2,bull,11934,0.1934,2271.596712328767,11934,1892,7.832454,198163.0
Kp,0.5,0.15,0.2,bear,5535,0.4465,2500.206575342466,11934,1851,0.189813,187365.0
Kp,0.5,0.15,0.2,competitor,11872,0.1872,1833.7720547945205,11934,1739,4.63946,198896.0
Kp,0.5,0.15,0.2,regulatory,10939,0.0939,1824.3704109589041,11934,1930,1.670293,191121.0
Kp,0.8,0.15,0.2,bull,11934,0.1934,2244.268493150685,11934,1975,9.708886,217107.0
Kp,0.8,0.15,0.2,bear,5536,0.4464,2702.403287671233,11934,1933,0.116094,198978.0
Kp,0.8,0.15,0.2,competitor,11559,0.1559,1800.9150684931508,11934,1972,2.431533,217473.0
Kp,0.8,0.15,0.2,regulatory,9152,0.0848,1874.9649315068493,11934,1983,1.266728,222034.0
Kp,1.2,0.15,0.2,bull,11934,0.1934,2244.268493150685,11934,1975,9.708503,243864.0
Kp,1.2,0.15,0.2,bear,5621,0.4379,1997.0038356164384,11934,1938,0.113038,215799.0
Kp,1.2,0.15,0.2,competitor,10724,0.0724,1575.1402739726027,11934,1972,2.119294,237103.0
Kp,1.2,0.15,0.2,regulatory,11579,0.1579,1917.517808219178,11934,1983,3.598996,244235.0
Kp,1.6,0.15,0.2,bull,11934,0.1934,2244.26301369863,11934,1975,11.002089,270622.0
Kp,1.6,0.15,0.2,bear,6334,0.3666,2680.242191780822,11934,1962,0.269261,276109.0
Kp,1.6,0.15,0.2,competitor,11773,0.1773,1661.401095890411,11934,1972,5.1486,271338.0
Kp,1.6,0.15,0.2,regulatory,10022,0.0022,1510.9846575342465,11934,1983,2.947955,270946.0
Ki,0.05,0.05,0.2,bull,11934,0.1934,2358.3424657534247,11934,1975,10.898165,136408.0
Ki,0.05,0.05,0.2,bear,8322,0.1678,2230.3386301369865,11934,1885,0.546229,136408.0
Ki,0.05,0.05,0.2,competitor,11934,0.1934,2218.9227397260274,11934,1938,3.648791,136408.0
Ki,0.05,0.05,0.2,regulatory,11934,0.1934,2583.845479452055,11934,1887,1.963997,136428.0
Ki,0.1,0.1,0.2,bull,11934,0.1934,2244.268493150685,11934,1975,9.710982,179268.0
Ki,0.1,0.1,0.2,bear,5355,0.4645,2534.5090410958906,11934,1933,0.140682,173425.0
Ki,0.1,0.1,0.2,competitor,11252,0.1252,2108.9879452054793,11934,1972,2.267779,179636.0
Ki,0.1,0.1,0.2,regulatory,10370,0.037,2167.7013698630135,11934,1883,1.744891,187835.0
Ki,0.15,0.15,0.2,bull,11934,0.1934,2244.268493150685,11934,1975,9.708886,217107.0
Ki,0.15,0.15,0.2,bear,5536,0.4464,2702.403287671233,11934,1933,0.116094,198978.0
Ki,0.15,0.15,0.2,competitor,11559,0.1559,1800.9150684931508,11934,1972,2.431533,217473.0
Ki,0.15,0.15,0.2,regulatory,9152,0.0848,1874.9649315068493,11934,1983,1.266728,222034.0
