profile,seed,final_N,avg_reputation_year5
ethereum_like,1000,10424,0.2984
ethereum_like,1001,9801,0.291
ethereum_like,1002,8798,0.3136
ethereum_like,1003,9162,0.2928
ethereum_like,1004,9821,0.2989
ethereum_like,1005,11289,0.3036
ethereum_like,1006,11753,0.2697
ethereum_like,1007,9453,0.2978
ethereum_like,1008,9568,0.2913
ethereum_like,1009,9342,0.2857
ethereum_like,1010,9437,0.3016
ethereum_like,1011,11053,0.2789
ethereum_like,1012,8101,0.3072
ethereum_like,1013,9227,0.3071
ethereum_like,1014,10814,0.2738
ethereum_like,1015,10245,0.2937
ethereum_like,1016,9594,0.3121
ethereum_like,1017,10880,0.2877
ethereum_like,1018,11449,0.2888
ethereum_like,1019,9978,0.2817
ethereum_like,1020,10929,0.2827
ethereum_like,1021,8964,0.2837
ethereum_like,1022,11925,0.3028
ethereum_like,1023,9909,0.2994
ethereum_like,1024,10837,0.2705
ethereum_like,1025,10342,0.3054
ethereum_like,1026,9750,0.2743
ethereum_like,1027,9191,0.3049
ethereum_like,1028,10711,0.3064
ethereum_like,1029,10817,0.2784
helium_like,1000,11545,0.0955
helium_like,1001,11530,0.0965
helium_like,1002,10345,0.1036
helium_like,1003,11591,0.1003
helium_like,1004,10872,0.0932
helium_like,1005,9150,0.0975
helium_like,1006,11134,0.095
helium_like,1007,11617,0.1001
helium_like,1008,11248,0.112
helium_like,1009,11203,0.095
helium_like,1010,11509,0.101
helium_like,1011,10749,0.1024
helium_like,1012,11605,0.0957
helium_like,1013,11623,0.1017
helium_like,1014,10908,0.1082
helium_like,1015,11592,0.0948
helium_like,1016,11611,0.0988
helium_like,1017,11633,0.1037
helium_like,1018,9253,0.0986
helium_like,1019,10800,0.0911
helium_like,1020,8975,0.0961
helium_like,1021,11235,0.0975
helium_like,1022,11564,0.0972
helium_like,1023,10200,0.0937
helium_like,1024,11360,0.091
helium_like,1025,11580,0.1027
helium_like,1026,11604,0.0974
helium_like,1027,10686,0.0922
helium_like,1028,10575,0.1056
helium_like,1029,10689,0.0921
filecoin_like,1000,9436,0.216
filecoin_like,1001,10723,0.2226
filecoin_like,1002,11737,0.2074
filecoin_like,1003,10631,0.1861
filecoin_like,1004,10172,0.2003
filecoin_like,1005,9831,0.1998
filecoin_like,1006,9245,0.2218
filecoin_like,1007,11623,0.2115
filecoin_like,1008,11488,0.2119
filecoin_like,1009,10147,0.2249
filecoin_like,1010,10894,0.208
filecoin_like,1011,9292,0.2163
filecoin_like,1012,9884,0.1847
filecoin_like,1013,11725,0.2237
filecoin_like,1014,9698,0.2104
filecoin_like,1015,11710,0.2244
filecoin_like,1016,10360,0.2007
filecoin_like,1017,10057,0.2217
filecoin_like,1018,10989,0.1984
filecoin_like,1019,10479,0.19
filecoin_like,1020,11103,0.2086
filecoin_like,1021,11673,0.2039
filecoin_like,1022,11674,0.2098
filecoin_like,1023,10531,0.2056
filecoin_like,1024,11739,0.2142
filecoin_like,1025,11457,0.2095
filecoin_like,1026,11688,0.209
filecoin_like,1027,9186,0.2079
filecoin_like,1028,8752,0.213
filecoin_like,1029,10309,0.2038
