seed,timestep,scenario,emission_model,op_risk,N,E,B,F_daily,P,C,T,s2r,bme,slashed_total,fraud_captured_pct,op_slashed_total,op_exited_total,pid_integral,pid_emission_rate,avg_reputation,downtime_count,rep_threshold,sweep_type,sweep_value,avg_reputation_year5,delta_rep_override
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.1827,110,0.99,threshold,0.99,0.18124054794520553,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.3636,110,0.98,threshold,0.98,0.3685734246575342,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.5661,110,0.97,threshold,0.97,0.5716328767123288,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.7764,110,0.96,threshold,0.96,0.7848912328767124,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.9849,110,0.95,threshold,0.95,0.9976701369863015,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,1.195,110,0.94,threshold,0.94,1.2082501369863015,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,1.4039,110,0.93,threshold,0.93,1.4167172602739726,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,1.602,110,0.92,threshold,0.92,1.6149646575342465,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,1.7918,110,0.91,threshold,0.91,1.8064391780821916,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,1.9777,110,0.9,threshold,0.9,1.9894419178082188,
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.3201,110,0.99,delta_rep_at_099,0.01,0.3211849315068493,0.01
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.2816,110,0.99,delta_rep_at_099,0.05,0.2834038356164384,0.05
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.2464,110,0.99,delta_rep_at_099,0.1,0.24738191780821916,0.1
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.2199,110,0.99,delta_rep_at_099,0.15,0.2199041095890411,0.15
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.1992,110,0.99,delta_rep_at_099,0.2,0.19842684931506852,0.2
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.1827,110,0.99,delta_rep_at_099,0.25,0.18124054794520553,0.25
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.1693,110,0.99,delta_rep_at_099,0.3,0.16725205479452054,0.3
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.1489,110,0.99,delta_rep_at_099,0.4,0.14608109589041096,0.4
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.1353,110,0.99,delta_rep_at_099,0.5,0.1315627397260274,0.5
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,0.1044,110,0.99,delta_rep_at_099,1.0,0.09868054794520548,1.0
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,1.3245,110,0.95,delta_rep_at_095,0.01,1.3420257534246576,0.01
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,1.2544,110,0.95,delta_rep_at_095,0.05,1.2722734246575342,0.05
42,1824,competitor,pid,True,9232,42335.0,52.13,365.83,2.174154,66764357.0,501870990,0.001231,0.001231,351852450,0.0005,18540,1466,-4.5017,0.3863,1.1766,110,0.95,delta_rep_at_095,0.1,1.1935920547945207,0.1
