seed,timestep,scenario,emission_model,op_risk,N,E,B,F_daily,P,C,T,s2r,bme,slashed_total,fraud_captured_pct,op_slashed_total,op_exited_total,pid_integral,pid_emission_rate,avg_reputation,downtime_count,ensemble_seed,gap
1000,1824,regulatory,pid,True,10965,27397.0,68.2,669.71,2.993115,46659705.0,485189138,0.002489,0.002489,335167389,0.0006,21749,1584,-5.0,0.25,0.1729,149,1000,gap3
1000,1824,regulatory,static,True,2146,84810.0,202.86,122.02,0.178892,239435443.0,286548374,0.002392,0.002392,136544731,0.0001,3643,507,,,0.1933,21,1000,gap3
1001,1824,regulatory,pid,True,9865,42630.0,88.61,560.52,2.001957,76444701.0,477068846,0.002079,0.002079,327054409,0.0004,14437,1437,-4.1551,0.389,0.1747,119,1001,gap3
1001,1824,regulatory,static,True,2936,84810.0,389.2,186.91,0.146827,219559592.0,306461276,0.004589,0.004589,156454449,0.0001,6827,586,,,0.181,40,1001,gap3
1002,1824,regulatory,pid,True,11017,27397.0,44.28,647.82,4.505242,41710894.0,495973915,0.001616,0.001616,345954557,0.0008,19358,1464,-4.9568,0.25,0.1686,127,1002,gap3
1002,1824,regulatory,static,True,2040,84810.0,300.3,119.71,0.107105,263335154.0,262598695,0.003541,0.003541,112598695,0.0001,0,368,,,0.2014,26,1002,gap3
1003,1824,regulatory,pid,True,10241,40553.0,88.36,638.46,2.150651,67706408.0,462876596,0.002179,0.002179,312864589,0.0005,12007,1468,-4.0489,0.37,0.1609,112,1003,gap3
1003,1824,regulatory,static,True,2487,84810.0,233.98,152.0,0.198086,255273728.0,270686030,0.002759,0.002759,120677652,0.0001,8378,451,,,0.1731,32,1003,gap3
1004,1824,regulatory,pid,True,10884,48661.0,78.36,669.2,2.543083,77868273.0,496111268,0.00161,0.00161,346106155,0.0004,5113,1460,-3.239,0.444,0.1754,147,1004,gap3
1004,1824,regulatory,static,True,11864,84810.0,88.4,787.46,2.428852,72658639.0,453528002,0.001042,0.001042,303515739,0.0001,12263,1470,,,0.1715,153,1004,gap3
1005,1824,regulatory,pid,True,11609,27397.0,32.3,791.56,7.584791,38850975.0,500660010,0.001179,0.001179,350650702,0.0007,9308,1505,-5.0,0.25,0.1664,139,1005,gap3
