seed,timestep,scenario,emission_model,op_risk,N,E,B,F_daily,P,C,T,s2r,bme,slashed_total,fraud_captured_pct,op_slashed_total,op_exited_total,pid_integral,pid_emission_rate,avg_reputation,downtime_count,rho_corr,ensemble_seed
1000,1824,competitor,pid,True,10816,28505.0,35.79,443.43,4.2122,49092836.0,517199692,0.001255,0.001255,367188163,0.0006,11529,1496,-4.5034,0.2601,0.1746,145,0.01,1000
1001,1824,competitor,pid,True,10840,27397.0,45.63,503.91,3.241676,44104616.0,516537991,0.001666,0.001666,366525083,0.0007,12908,1503,-5.0,0.25,0.184,150,0.01,1001
1002,1824,competitor,pid,True,10425,27397.0,30.45,408.2,4.012613,31354813.0,518253229,0.001111,0.001111,368241072,0.0008,12157,1537,-4.7468,0.25,0.173,115,0.01,1002
1003,1824,competitor,pid,True,11630,27397.0,17.5,535.99,9.23014,21167010.0,526944534,0.000639,0.000639,376924875,0.0007,19659,1523,-5.0,0.25,0.1791,133,0.01,1003
1004,1824,competitor,pid,True,9862,28628.0,53.54,401.62,2.077429,54959117.0,518757208,0.00187,0.00187,368744945,0.0008,12263,1542,-4.9871,0.2612,0.1812,104,0.01,1004
1005,1824,competitor,pid,True,11853,27397.0,17.27,486.74,8.395822,24268411.0,522982153,0.00063,0.00063,372963783,0.0006,18370,1586,-5.0,0.25,0.1843,152,0.01,1005
1006,1824,competitor,pid,True,10517,27397.0,48.25,419.71,2.870698,46922757.0,518042651,0.001761,0.001761,368029117,0.0009,13534,1530,-5.0,0.25,0.1893,128,0.01,1006
1007,1824,competitor,pid,True,10460,27397.0,51.82,458.94,2.768507,35070479.0,514041477,0.001891,0.001891,364021452,0.0007,20025,1486,-4.7698,0.25,0.1701,143,0.01,1007
1008,1824,competitor,pid,True,11622,27397.0,29.79,517.29,5.261774,50890029.0,501862002,0.001087,0.001087,351853428,0.0005,8574,1483,-5.0,0.25,0.1771,136,0.01,1008
1009,1824,competitor,pid,True,7864,91396.0,136.55,303.9,0.635189,81252544.0,488875588,0.001494,0.001494,338869468,0.0001,6120,1421,-2.2477,0.834,0.1788,109,0.01,1009
1010,1824,competitor,pid,True,9421,46365.0,53.34,386.93,2.152482,68288539.0,498014730,0.00115,0.00115,348000765,0.0005,13965,1507,-4.1805,0.4231,0.1703,99,0.01,1010
1011,1824,competitor,pid,True,10352,53954.0,121.73,461.33,1.148885,105900827.0,499107383,0.002256,0.002256,349086568,0.0004,20815,1436,-3.1818,0.4923,0.1769,128,0.01,1011
1012,1824,competitor,pid,True,11760,27397.0,37.92,487.27,4.097719,38148470.0,508244413,0.001384,0.001384,358235535,0.0008,8878,1550,-5.0,0.25,0.1853,163,0.01,1012
1013,1824,competitor,pid,True,10856,27397.0,45.49,455.77,3.032673,46894529.0,514196315,0.001661,0.001661,364164495,0.0008,31820,1500,-4.8149,0.25,0.1701,154,0.01,1013
1014,1824,competitor,pid,True,11352,34763.0,50.07,516.59,2.929621,44892141.0,517568411,0.00144,0.00144,367554247,0.0006,14164,1524,-3.8195,0.3172,0.1692,144,0.01,1014
1015,1824,competitor,pid,True,9667,63996.0,104.95,416.46,1.218375,76269658.0,499970510,0.00164,0.00164,349954188,0.0003,16322,1449,-2.9516,0.584,0.1785,110,0.01,1015
1016,1824,competitor,pid,True,10605,27397.0,38.66,470.66,3.88583,54700806.0,514730751,0.001411,0.001411,364720465,0.0009,10286,1483,-5.0,0.25,0.1879,142,0.01,1016
1017,1824,competitor,pid,True,10994,27397.0,37.84,515.13,4.174508,44606088.0,507495936,0.001381,0.001381,357480289,0.0007,15647,1515,-5.0,0.25,0.1702,143,0.01,1017
1018,1824,competitor,pid,True,10654,27397.0,50.86,497.72,2.983796,39377419.0,506708050,0.001856,0.001856,356692560,0.0007,15490,1527,-5.0,0.25,0.1707,151,0.01,1018
1019,1824,competitor,pid,True,10262,68980.0,79.14,450.03,1.596478,83477978.0,494524260,0.001147,0.001147,344499912,0.0003,24348,1451,-2.3561,0.6294,0.1658,128,0.01,1019
1020,1824,competitor,pid,True,9942,28783.0,49.4,425.85,2.80204,34773477.0,513332977,0.001716,0.001716,363328214,0.0007,4763,1439,-4.9401,0.2626,0.1757,122,0.01,1020
1021,1824,competitor,pid,True,11840,27397.0,21.47,524.68,7.028485,34600308.0,511955831,0.000784,0.000784,361936785,0.0008,19046,1563,-5.0,0.25,0.1856,143,0.01,1021
1022,1824,competitor,pid,True,8342,100704.0,106.55,306.39,0.849539,95931987.0,488846277,0.001058,0.001058,338826026,0.0002,20251,1431,-1.4541,0.9189,0.1729,93,0.01,1022
1023,1824,competitor,pid,True,11725,27397.0,38.47,548.65,4.152713,41014646.0,505866230,0.001404,0.001404,355858893,0.0007,7337,1532,-5.0,0.25,0.1766,143,0.01,1023
1024,1824,competitor,pid,True,8278,132123.0,203.96,318.78,0.502201,118638011.0,488523745,0.001544,0.001544,338512188,0.0002,11557,1452,0.4731,1.2056,0.1732,106,0.01,1024
1025,1824,competitor,pid,True,9600,38007.0,62.25,383.76,1.716497,66125890.0,499297959,0.001638,0.001638,349280131,0.0005,17828,1460,-4.5678,0.3468,0.1776,114,0.01,1025
1026,1824,competitor,pid,True,10499,38244.0,38.71,411.99,3.495756,40111262.0,508016527,0.001012,0.001012,357995119,0.0005,21408,1462,-4.0851,0.349,0.1586,116,0.01,1026
1027,1824,competitor,pid,True,11654,27397.0,32.19,475.21,4.60909,26924019.0,521851222,0.001175,0.001175,371836749,0.0007,14473,1520,-5.0,0.25,0.175,141,0.01,1027
1028,1824,competitor,pid,True,10302,27397.0,52.44,410.04,2.298239,41177657.0,510633804,0.001914,0.001914,360617562,0.0006,16242,1501,-5.0,0.25,0.1802,112,0.01,1028
1029,1824,competitor,pid,True,9902,75552.0,92.59,395.18,1.220145,89940409.0,500056164,0.001226,0.001226,350041301,0.0003,14863,1456,-2.1227,0.6894,0.1738,124,0.01,1029
1000,1824,competitor,pid,True,9493,40573.0,64.08,377.58,1.669429,53299682.0,504828701,0.001579,0.001579,354808504,0.0004,20197,1491,-4.4718,0.3702,0.1739,112,0.03,1000
1001,1824,competitor,pid,True,9823,34984.0,39.83,370.08,2.768568,55064541.0,500958260,0.001138,0.001138,350933138,0.0005,25122,1502,-4.6917,0.3192,0.1793,130,0.03,1001
